pair_count,resample,raw_cosine,masked_cosine,norm_agreement,left_to_full_cosine,right_to_full_cosine
8,60,0.4125349521636963,0.48339515924453735,0.8089665321080441,0.7508813142776489,0.6496359705924988
8,61,0.23658864200115204,0.37504780292510986,0.782425194747842,0.6094841361045837,0.6907984018325806
8,62,0.42363622784614563,0.5309156775474548,0.9800348215304742,0.6954196691513062,0.6767762899398804
8,63,0.3899855613708496,0.44441527128219604,0.8437746574556,0.6190272569656372,0.7638989686965942
8,64,0.5014983415603638,0.564927339553833,0.787047131239821,0.7421154379844666,0.6890444755554199
8,65,0.44348904490470886,0.5226470232009888,0.9942423050697703,0.7008931636810303,0.6834053993225098
8,66,0.5106334686279297,0.6157094240188599,0.9875312072424616,0.7234588265419006,0.7368659973144531
8,67,0.4606087803840637,0.605690062046051,0.8692618008309717,0.7210211753845215,0.6967080235481262
8,68,0.459039568901062,0.5307704210281372,0.979183701889373,0.751677393913269,0.7092080116271973
8,69,0.4622916281223297,0.5866625308990479,0.9209570369204135,0.7443264722824097,0.7273334264755249
8,70,0.47844311594963074,0.5590606331825256,0.8337488710087888,0.7771548628807068,0.6952598094940186
8,71,0.4020448923110962,0.4691745638847351,0.9995662947495324,0.6296176910400391,0.6815155744552612
8,72,0.3886929452419281,0.4963359832763672,0.9599389180659084,0.7241642475128174,0.6278685331344604
8,73,0.3597150444984436,0.4748969078063965,0.9147069356823047,0.6855101585388184,0.642926812171936
8,74,0.3994678854942322,0.44849926233291626,0.9099827548175367,0.6957063674926758,0.7330702543258667
8,75,0.35065871477127075,0.45502594113349915,0.8878316377256996,0.654775083065033,0.715872049331665
8,76,0.49079638719558716,0.594836413860321,0.9593163552390837,0.7337838411331177,0.7418506741523743
8,77,0.27824968099594116,0.3684777319431305,0.9446770055399596,0.6258542537689209,0.6595187783241272
8,78,0.396503210067749,0.5357851386070251,0.9053490081966503,0.7018252015113831,0.7072550058364868
8,79,0.276852548122406,0.42066240310668945,0.8105007591272435,0.6870921850204468,0.6573587656021118
8,80,0.373190313577652,0.471213161945343,0.8992768352560561,0.7011076211929321,0.6625767350196838
8,81,0.4018409252166748,0.509588897228241,0.9678570258780024,0.580793559551239,0.7817840576171875
8,82,0.41201865673065186,0.48773521184921265,0.984379346209761,0.7568670511245728,0.6789183616638184
8,83,0.4970385432243347,0.5810694694519043,0.9130246197778108,0.7011290192604065,0.7736502289772034
8,84,0.48538273572921753,0.588470995426178,0.9704246669477953,0.7580150961875916,0.6858938932418823
8,85,0.34654009342193604,0.4781224727630615,0.8257336156674774,0.648730993270874,0.7136225700378418
8,86,0.5112830996513367,0.6172578930854797,0.9426528115319168,0.7358160018920898,0.7635247707366943
8,87,0.2906396985054016,0.4088840186595917,0.962277203360227,0.6038703918457031,0.6160169243812561
8,88,0.3578375577926636,0.46484506130218506,0.9641818782113505,0.5777133703231812,0.7250320911407471
8,89,0.3652326762676239,0.49455004930496216,0.9313465076140448,0.608966588973999,0.7129231095314026
8,90,0.2653740346431732,0.4200659990310669,0.8511043405771234,0.6452210545539856,0.6610637903213501
8,91,0.48647353053092957,0.5947741270065308,0.8555925758948222,0.7661652565002441,0.6996878981590271
8,92,0.3694140315055847,0.48919159173965454,0.9385863286738714,0.6134438514709473,0.7579301595687866
8,93,0.27197787165641785,0.3443813920021057,0.9324640554184381,0.5860030055046082,0.6588146686553955
8,94,0.45136845111846924,0.5419267416000366,0.9670499543091565,0.6829792857170105,0.7375373244285583
8,95,0.4399626851081848,0.549325168132782,0.9089712833016604,0.6944125890731812,0.6947113275527954
8,96,0.3566848039627075,0.46930187940597534,0.9089853951898018,0.6615273952484131,0.7190948724746704
8,97,0.41410213708877563,0.5279554128646851,0.9461080431587084,0.7140281796455383,0.6888667941093445
8,98,0.4697924554347992,0.5761627554893494,0.9588915216009062,0.7376181483268738,0.6932909488677979
8,99,0.4924880564212799,0.5585141181945801,0.938837794850049,0.7219130396842957,0.7760311961174011
8,100,0.3380436301231384,0.40897849202156067,0.8754558126529459,0.6522313356399536,0.6980514526367188
8,101,0.43501725792884827,0.5340101718902588,0.8929185777217203,0.6438526511192322,0.7350213527679443
8,102,0.4682168662548065,0.6080852150917053,0.9008192058470147,0.7343610525131226,0.7337459921836853
8,103,0.490946501493454,0.6028338670730591,0.866933236451755,0.7173824906349182,0.6747097969055176
8,104,0.33806467056274414,0.49961429834365845,0.9025506571886986,0.6701405644416809,0.6916422843933105
8,105,0.47715896368026733,0.6084962487220764,0.9706111168063175,0.7080444097518921,0.7223714590072632
8,106,0.245327889919281,0.36530086398124695,0.962519116925386,0.6733570098876953,0.6695924997329712
8,107,0.43743932247161865,0.5138106942176819,0.9916113028503155,0.6744674444198608,0.6886810064315796
8,108,0.42908257246017456,0.5416080355644226,0.9468844112530573,0.7017966508865356,0.7200196385383606
8,109,0.535879373550415,0.6272460222244263,0.996034007601091,0.7582290172576904,0.7672477960586548
8,110,0.38301631808280945,0.5273780822753906,0.9999782761724559,0.6281300783157349,0.6943632364273071
8,111,0.36186420917510986,0.49580058455467224,0.9160008098459503,0.6516452431678772,0.6874626278877258
8,112,0.46580690145492554,0.5703387260437012,0.896073649688216,0.7470734715461731,0.7067874073982239
8,113,0.49859869480133057,0.5808137059211731,0.9551158360019126,0.7384339570999146,0.7583021521568298
8,114,0.39862245321273804,0.5282413363456726,0.9665371708252962,0.6609421968460083,0.7421122789382935
8,115,0.5793441534042358,0.6320376992225647,0.91537860752449,0.7526246309280396,0.7568423748016357
8,116,0.4313708543777466,0.5550855398178101,0.9939847652686966,0.7313834428787231,0.7196295261383057
8,117,0.3489674925804138,0.43893319368362427,0.837936402275167,0.535230278968811,0.7591460943222046
8,118,0.4671165347099304,0.5726173520088196,0.9027902092208598,0.7157433032989502,0.7104541063308716
8,119,0.5002678036689758,0.5947325229644775,0.9887900136994842,0.7143341898918152,0.7325408458709717
8,120,0.31737738847732544,0.41125351190567017,0.9919400699270227,0.6453213095664978,0.639101505279541
8,121,0.5255473852157593,0.6182752847671509,0.9281665193487866,0.7265552878379822,0.7488124370574951
8,122,0.5135377645492554,0.629828929901123,0.8905272857368448,0.737268328666687,0.7806131839752197
8,123,0.3703889846801758,0.46137088537216187,0.7991163526569132,0.6405243277549744,0.7138485908508301
8,124,0.3370969593524933,0.43840593099594116,0.9450261984974497,0.5332708954811096,0.7683022022247314
8,125,0.5175769329071045,0.6098288893699646,0.9591003079730603,0.7326803207397461,0.7282869219779968
8,126,0.45410630106925964,0.5211211442947388,0.943098845585836,0.735382080078125,0.6593331694602966
8,127,0.45638173818588257,0.5783766508102417,0.812483399450162,0.7128269076347351,0.727862536907196
8,128,0.21138820052146912,0.37792646884918213,0.7734500175308402,0.7132136821746826,0.6008196473121643
8,129,0.3671209514141083,0.48653078079223633,0.929290798550038,0.692467987537384,0.695132315158844
8,130,0.36870554089546204,0.4434385299682617,0.9522765720160131,0.6990501284599304,0.6488813161849976
8,131,0.4017994999885559,0.503777027130127,0.9940980908956741,0.6587988138198853,0.7207565307617188
8,132,0.4897744357585907,0.5806453824043274,0.7948064413190921,0.7483580708503723,0.6811162233352661
8,133,0.3595849275588989,0.4632759690284729,0.8820417440608279,0.6410980224609375,0.7456281185150146
8,134,0.5041980743408203,0.5974267721176147,0.8854346984836279,0.7165560722351074,0.7230604887008667
8,135,0.5263095498085022,0.6371057033538818,0.9408451213726139,0.771276593208313,0.7370601892471313
8,136,0.3874132037162781,0.48954081535339355,0.9987702326886037,0.7176945209503174,0.660524845123291
8,137,0.37262049317359924,0.4667356610298157,0.9933257795034564,0.6410551071166992,0.7523779273033142
8,138,0.3618958592414856,0.481247216463089,0.7204501018343847,0.7659371495246887,0.6106038689613342
8,139,0.46400487422943115,0.5713545083999634,0.9847589387405055,0.6856370568275452,0.7191574573516846
8,140,0.47558537125587463,0.6124659180641174,0.9813450461170142,0.7027829885482788,0.7420971989631653
8,141,0.4225517511367798,0.46273261308670044,0.9632793644268823,0.6677889823913574,0.733742356300354
8,142,0.3594452738761902,0.4817436635494232,0.9826647267360387,0.7282881736755371,0.5957058668136597
8,143,0.42063722014427185,0.5471222400665283,0.8626837759640099,0.7241187691688538,0.6465030312538147
8,144,0.42253774404525757,0.5607991218566895,0.9613093349106555,0.7447552680969238,0.7012808918952942
8,145,0.38961169123649597,0.5352128744125366,0.8528394593772387,0.6747843027114868,0.6899299621582031
8,146,0.2937185764312744,0.43456169962882996,0.9309724994489429,0.6506607532501221,0.7309157848358154
8,147,0.4536239206790924,0.5422847867012024,0.8623773663286944,0.7371289730072021,0.6871556043624878
8,148,0.35294562578201294,0.5307426452636719,0.7944657629202584,0.6463903784751892,0.6967060565948486
8,149,0.30882853269577026,0.39835572242736816,0.9938556119329036,0.6887267231941223,0.648676872253418
8,150,0.41403621435165405,0.5237081050872803,0.892646567360306,0.6589207649230957,0.7072374820709229
8,151,0.3015110194683075,0.45590925216674805,0.7561455418983003,0.6884013414382935,0.6390090584754944
8,152,0.38144651055336,0.5390084981918335,0.9259599275465702,0.6738240718841553,0.6653350591659546
8,153,0.430087149143219,0.5381861925125122,0.9346321341615926,0.6911196112632751,0.749548077583313
8,154,0.3900141417980194,0.4753378629684448,0.9964458635453742,0.7764051556587219,0.6049251556396484
8,155,0.3973141312599182,0.5152787566184998,0.9187941547759829,0.727725625038147,0.6901999711990356
8,156,0.528957724571228,0.6492637395858765,0.9712466304424529,0.7361890077590942,0.7725917100906372
