method,alpha,metric,n_seeds,n_missing,mean,std,median,ci_low,ci_high
posthoc_latent,1.0,face_similarity,30,0,0.9832987089951831,0.009828895741235761,0.985314667224884,0.9796194993456201,0.9866177183886367
posthoc_latent,1.0,landmark_rmse,0,30,,,,,
posthoc_latent,1.0,lpips,30,0,0.034556895742813225,0.005825728963943356,0.031972149387001506,0.032596115497871773,0.036725016475344166
posthoc_latent,1.0,background_ssim,30,0,0.99068423194189,0.010535560028184175,0.9920545600152636,0.9864651749757888,0.9939845510468965
posthoc_latent,1.0,overall_ssim,30,0,0.9322943224178819,0.018089113329454197,0.9343096889953841,0.9256670028448634,0.93842344818437
posthoc_latent,1.0,total_pose_diff,30,0,1.605946885514603,0.8132204720431672,1.4862663278907187,1.33310209698588,1.905437062681631
posthoc_latent,1.5,skin_tone_change,30,0,17.171311937496633,12.555090208885252,19.19759948867954,12.677224823636514,21.404381606605416
posthoc_latent,1.5,lightness_change,30,0,-16.02124563995343,5.1673123579661215,-16.74588797713855,-17.82861704903424,-14.16935160341315
posthoc_latent,1.5,face_similarity,30,0,0.9705878833929695,0.012358422846149634,0.973225802183151,0.966083307067553,0.974931064546108
posthoc_latent,1.5,landmark_rmse,0,30,,,,,
posthoc_latent,1.5,lpips,30,0,0.06566466862956634,0.010051863364628679,0.061174703761934505,0.06229884503098776,0.06939454004789343
posthoc_latent,1.5,background_ssim,30,0,0.9863340748482331,0.015342269162672837,0.9885037376484981,0.9802095084006675,0.9911664114255682
posthoc_latent,1.5,overall_ssim,30,0,0.9039514214025101,0.022567285035004134,0.9082790935351426,0.8957400689703531,0.9115732000840993
posthoc_latent,1.5,total_pose_diff,30,0,1.8517578224011035,0.8568959219827372,1.7468423178227195,1.5739551727391012,2.1716997322293823
prompt_only,-2.0,skin_tone_change,30,0,-9.976304520496587,6.322219839744949,-10.033672691875136,-11.893094195983963,-7.4661461148633865
prompt_only,-2.0,lightness_change,30,0,4.305442857044637,3.164607415572048,3.3237527685131028,3.2435638407062277,5.452642358123886
prompt_only,-2.0,face_similarity,30,0,0.9733835895856219,0.018733187385100783,0.9744125008583066,0.9664921273787813,0.9795880579451718
prompt_only,-2.0,landmark_rmse,0,30,,,,,
prompt_only,-2.0,lpips,30,0,0.30190074791510857,0.10573145589682836,0.3056455850601191,0.2651483691980438,0.3387193124741311
prompt_only,-2.0,background_ssim,30,0,0.9525265887782687,0.039877222715726544,0.9591346784031325,0.9378165185775834,0.9662248767424216
prompt_only,-2.0,overall_ssim,30,0,0.7906756294892521,0.06657128194706294,0.7909971901753691,0.7666994274642039,0.8135417872805902
prompt_only,-2.0,total_pose_diff,30,0,4.341736624294259,3.3894042621361744,3.656919737530373,3.297034035754339,5.650085779315064
prompt_only,0.0,skin_tone_change,30,0,0.0,0.0,0.0,0.0,0.0
prompt_only,0.0,lightness_change,30,0,0.0,0.0,0.0,0.0,0.0
prompt_only,0.0,face_similarity,30,0,1.0000000198682149,4.5186164424107555e-08,1.0,1.000000003973643,1.000000035762787
prompt_only,0.0,landmark_rmse,0,30,,,,,
prompt_only,0.0,lpips,30,0,0.0,0.0,0.0,0.0,0.0
prompt_only,0.0,background_ssim,30,0,1.0,0.0,1.0,1.0,1.0
prompt_only,0.0,overall_ssim,30,0,1.0,0.0,1.0,1.0,1.0
prompt_only,0.0,total_pose_diff,30,0,0.0,0.0,0.0,0.0,0.0
prompt_only,0.2,skin_tone_change,30,0,4.127484605410266,5.094675333800538,3.211891264069137,2.677625191671958,6.203389931790434
prompt_only,0.2,lightness_change,30,0,-0.2949993889426764,1.7744001936721328,-0.013646107291997004,-0.9325483020725505,0.33012401615430004
prompt_only,0.2,face_similarity,30,0,0.9760510941346484,0.01754642540383096,0.9797480702400205,0.9694629087050753,0.9816700530548886
prompt_only,0.2,landmark_rmse,0,30,,,,,
prompt_only,0.2,lpips,30,0,0.17712281383573966,0.12310859511029952,0.1469250097870825,0.13573224705023024,0.2226973332495734
prompt_only,0.2,background_ssim,30,0,0.9646514875731155,0.034320494797820456,0.9761857719323,0.9521658053937054,0.9761755256690542
prompt_only,0.2,overall_ssim,30,0,0.8406964554003936,0.07196410118737326,0.848956535176534,0.8144937872375586,0.8646857003399654
prompt_only,0.2,total_pose_diff,30,0,3.5881353637883584,2.1947354279683418,3.122547493170037,2.8633425617856187,4.376837764063069
stepwise_masked,-1.0,skin_tone_change,30,0,-7.4758407055503175,4.348623661622216,-7.1509047722074435,-8.990927350450143,-5.938283456224238
stepwise_masked,-1.0,lightness_change,30,0,6.142968838932822,2.018262001953646,5.778503710315412,5.439557627959257,6.863240152814999
stepwise_masked,-1.0,face_similarity,30,0,0.9705042739709214,0.021967047248854066,0.9788073897361751,0.9625110521912572,0.9781606008609132
stepwise_masked,-1.0,landmark_rmse,0,30,,,,,
stepwise_masked,-1.0,lpips,30,0,0.14833385000626198,0.07545890371281007,0.12492381036281551,0.12281961804876675,0.17643794540005367
stepwise_masked,-1.0,background_ssim,30,0,0.970767354617371,0.027861890890304355,0.9799238498702211,0.9603038751496351,0.9801437118531104
stepwise_masked,-1.0,overall_ssim,30,0,0.8679575611144698,0.052139399162203455,0.8773789290170051,0.8489204725252566,0.8858635274659888
stepwise_masked,-1.0,total_pose_diff,30,0,2.853524765353458,2.1356519428751004,2.266940985154662,2.1845361389779288,3.665403349280255
stepwise_masked,-0.75,skin_tone_change,30,0,-5.9513713874263106,3.577179674210853,-5.939660394939661,-7.195742140334548,-4.704123842544571
stepwise_masked,-0.75,lightness_change,30,0,5.261244466009639,1.8236705839159737,5.389038771340019,4.628572171501646,5.900578175801118
stepwise_masked,-0.75,face_similarity,30,0,0.9773735562960304,0.01591092841264567,0.98147913813591,0.9714618724584577,0.982656159798304
stepwise_masked,-0.75,landmark_rmse,0,30,,,,,
stepwise_masked,-0.75,lpips,30,0,0.11268923071523457,0.062459846616076155,0.09168347716331451,0.09102498607089071,0.13540256310875173
stepwise_masked,-0.75,background_ssim,30,0,0.9773510260010383,0.019547191842686204,0.9845717205194351,0.9702756981975558,0.984139859560863
stepwise_masked,-0.75,overall_ssim,30,0,0.8916991041615924,0.044255045102163104,0.8984491710880071,0.876094952871662,0.9070312259882106
stepwise_masked,-0.75,total_pose_diff,30,0,2.444198937955013,2.4004504869606915,1.847978593740125,1.7420866298581865,3.3860580574009758
stepwise_masked,0.0,skin_tone_change,30,0,0.0,0.0,0.0,0.0,0.0
stepwise_masked,0.0,lightness_change,30,0,0.0,0.0,0.0,0.0,0.0
stepwise_masked,0.0,face_similarity,30,0,1.0000000198682149,4.5186164424107555e-08,1.0,1.000000003973643,1.000000035762787
stepwise_masked,0.0,landmark_rmse,0,30,,,,,
stepwise_masked,0.0,lpips,30,0,0.0,0.0,0.0,0.0,0.0
stepwise_masked,0.0,background_ssim,30,0,1.0,0.0,1.0,1.0,1.0
stepwise_masked,0.0,overall_ssim,30,0,1.0,0.0,1.0,1.0,1.0
stepwise_masked,0.0,total_pose_diff,30,0,0.0,0.0,0.0,0.0,0.0
stepwise_masked,0.375,skin_tone_change,30,0,4.744929176596922,2.4913907906621353,4.6880623063889075,3.8694216045886676,5.627906370279404
stepwise_masked,0.375,lightness_change,30,0,-4.357451748659574,1.8141359393637404,-3.977736888785074,-5.038384458876019,-3.7338519929906577
stepwise_masked,0.375,face_similarity,30,0,0.9838858822981513,0.01213548773476234,0.9890120327472681,0.9794335627059138,0.9880273591478662
stepwise_masked,0.375,landmark_rmse,0,30,,,,,
stepwise_masked,0.375,lpips,30,0,0.09055959551284659,0.08752327230848135,0.05970494635403101,0.06268341703961236,0.12406901080626953
stepwise_masked,0.375,background_ssim,30,0,0.9808916447269438,0.020683683818009203,0.9872133846564135,0.9730785314139747,0.9876972369310797
stepwise_masked,0.375,overall_ssim,30,0,0.9044415537740682,0.06364334286432166,0.9252978922220831,0.880737226586298,0.9254303379825876
stepwise_masked,0.375,total_pose_diff,30,0,1.9151025943856412,1.1049128793670249,1.7672697704943312,1.5372627592386339,2.3140801617869493
stepwise_masked,0.5,skin_tone_change,30,0,7.017746113324046,3.365597490454011,6.922310059911194,5.81102466198198,8.197589676021028
stepwise_masked,0.5,lightness_change,30,0,-6.398878787321873,2.5990347023202767,-5.642218012654872,-7.356942341860962,-5.461104798675849
stepwise_masked,0.5,face_similarity,30,0,0.9811281919479368,0.012911328072053535,0.9862357378005976,0.9762640980879463,0.9855247314274308
stepwise_masked,0.5,landmark_rmse,0,30,,,,,
stepwise_masked,0.5,lpips,30,0,0.11732833472390927,0.09901530113922916,0.088902376592159,0.08464837930165191,0.15423428116055782
stepwise_masked,0.5,background_ssim,30,0,0.9759365936172592,0.02427645399553703,0.9809375353588086,0.9668297250674429,0.9839502546626928
stepwise_masked,0.5,overall_ssim,30,0,0.8806280871926674,0.07198854238672447,0.910559129851376,0.8544216176293911,0.9048293218481815
stepwise_masked,0.5,total_pose_diff,30,0,2.3971426508318907,1.5898931384554686,1.96280986298087,1.8933890939225269,3.0077443750507724
stepwise_unmasked,-0.75,skin_tone_change,30,0,-8.481214206951496,3.839698795389273,-8.390646004745857,-9.808841678907912,-7.117144857746083
stepwise_unmasked,-0.75,lightness_change,30,0,5.889183068888235,1.9655458222332092,5.7044586813355025,5.190826748273967,6.586503226127706
stepwise_unmasked,-0.75,face_similarity,30,0,0.9721002598603564,0.018851827306806252,0.9742287695407865,0.9652200302978354,0.9785909380515414
stepwise_unmasked,-0.75,landmark_rmse,0,30,,,,,
stepwise_unmasked,-0.75,lpips,30,0,0.17283012370268463,0.08445537371276447,0.14717555791139553,0.14468111624941196,0.20383818236490053
stepwise_unmasked,-0.75,background_ssim,30,0,0.9671882932756811,0.030821014550607387,0.9736666043629926,0.9554529976780567,0.9774263772001079
