method,alpha,metric,n_seeds,n_missing,mean,std,median,ci_low,ci_high
posthoc_latent,-0.25,total_pose_diff,30,0,0.9612497198661119,0.8334561093268067,0.8307123758505015,0.686180048977309,1.2723661516287013
posthoc_latent,0.0,skin_tone_change,30,0,0.0,0.0,0.0,0.0,0.0
posthoc_latent,0.0,lightness_change,30,0,0.0,0.0,0.0,0.0,0.0
posthoc_latent,0.0,face_similarity,30,0,1.0000000317891435,6.208782891853626e-08,1.0,1.000000011920929,1.0000000516573588
posthoc_latent,0.0,landmark_rmse,0,30,,,,,
posthoc_latent,0.0,lpips,30,0,0.0,0.0,0.0,0.0,0.0
posthoc_latent,0.0,background_ssim,30,0,0.9666666666666667,0.18257418583505533,1.0,0.9,1.0
posthoc_latent,0.0,overall_ssim,30,0,1.0,0.0,1.0,1.0,1.0
posthoc_latent,0.0,total_pose_diff,30,0,0.0,0.0,0.0,0.0,0.0
posthoc_latent,0.5,skin_tone_change,30,0,4.6402101504667606,2.3344519693437573,4.157875727427093,3.827338789826703,5.480567823561457
posthoc_latent,0.5,lightness_change,30,0,-4.170862973631679,1.499409279222325,-4.236778146522411,-4.699086311784702,-3.641854362420164
posthoc_latent,0.5,face_similarity,30,0,0.9904207348823545,0.007932728510951947,0.992804944515228,0.987442677170038,0.9929684401551879
posthoc_latent,0.5,landmark_rmse,0,30,,,,,
posthoc_latent,0.5,lpips,30,0,0.011353414210800834,0.0025458547707014065,0.0106985671445725,0.010473311622626524,0.012278043738721031
posthoc_latent,0.5,background_ssim,30,0,0.9615843681877838,0.18166905977160822,0.9959409279558507,0.8943225572425354,0.9959448241395715
posthoc_latent,0.5,overall_ssim,30,0,0.9650879392454682,0.009548033945860434,0.9657552713194371,0.9616688492267194,0.9684489209229311
posthoc_latent,0.5,total_pose_diff,30,0,1.295658821770558,1.1579028679768733,0.8767256236176095,0.9406182570793793,1.732752421849998
posthoc_latent,1.0,skin_tone_change,30,0,11.945617494024898,5.675414386005952,11.377536259903206,9.977177971339982,13.909021499741172
posthoc_latent,1.0,lightness_change,30,0,-10.338386769836237,3.5879892371655036,-11.122329763624265,-11.579561670753264,-9.052349162483512
posthoc_latent,1.0,face_similarity,30,0,0.9773368815581001,0.014081075950278906,0.9826796948909755,0.9720028475920357,0.9820267884929973
posthoc_latent,1.0,landmark_rmse,0,30,,,,,
posthoc_latent,1.0,lpips,30,0,0.03296844822665,0.004895091345004472,0.0322936028242105,0.03127363427852534,0.034726542336865646
posthoc_latent,1.0,background_ssim,30,0,0.9562282534667461,0.18086230006516907,0.9919886645919821,0.8881776205765939,0.991819705782079
posthoc_latent,1.0,overall_ssim,30,0,0.9315833366096985,0.016328857211793307,0.9313035360119086,0.925770012739002,0.9373400697936634
posthoc_latent,1.0,total_pose_diff,30,0,1.7560855988362443,0.9448119128167172,1.4667324503150017,1.4322550408334451,2.091790374960046
posthoc_latent,1.5,skin_tone_change,30,0,22.407935090761157,10.173069419270835,23.524590072175865,18.813008588557075,25.912537939599737
posthoc_latent,1.5,lightness_change,30,0,-17.73289276965278,5.224864302217709,-19.39978113231522,-19.506638693620122,-15.83868933647522
posthoc_latent,1.5,face_similarity,30,0,0.9634599526723223,0.022370108842338622,0.9711664319038386,0.9551619921624659,0.9710861907899377
posthoc_latent,1.5,landmark_rmse,0,30,,,,,
posthoc_latent,1.5,lpips,30,0,0.06271583127478711,0.008309291724281435,0.060901693999766505,0.059860524019846845,0.0656843321522073
posthoc_latent,1.5,background_ssim,30,0,0.9513581465714397,0.1802378375044265,0.9884707671028485,0.8826452146358353,0.9879593493027805
posthoc_latent,1.5,overall_ssim,30,0,0.9016918239387556,0.02044169575232886,0.9017730304963811,0.8944404946342607,0.9089319150824673
